kulramme;0 0 0 0 0 0 0 0 0 1
opgive;0 0 0 1 0 1 0 1 0 0
forladt;1 0 0 1 0 1 0 1 0 0
opgivelse;1 0 0 1 0 1 0 1 1 0
abba;0 0 0 0 0 0 1 0 0 0
abbed;0 0 0 0 0 0 0 0 0 1
bortførelse;0 0 0 1 0 1 0 1 1 0
afvigende;0 0 0 0 0 1 0 0 0 0
aberration;0 0 1 0 0 1 0 0 0 0
afsky;1 0 1 1 0 1 0 0 0 0
afskyelig;1 0 1 1 0 1 0 0 0 0
evne;0 0 0 0 0 0 1 0 0 0
abject;0 0 1 0 0 1 0 0 0 0
abnorm;0 0 1 0 0 1 0 0 0 0
afskaffe;1 0 0 0 0 1 0 0 0 0
afskaffelse;0 0 0 0 0 1 0 0 0 0
afskyelig;0 0 1 1 0 1 0 0 0 0
vederstyggelighed;1 0 1 1 0 1 0 0 0 0
abort;0 0 0 0 0 1 0 0 0 0
abort;0 0 1 1 0 1 0 1 0 0
abort;0 0 0 0 0 1 0 1 0 0
ovennævnte;0 0 0 0 0 0 1 0 0 0
slid;0 0 0 0 0 1 0 0 0 0
ophæve;0 0 0 0 0 1 0 0 0 0
brat;0 0 0 0 0 0 0 0 1 0
byld;0 0 0 0 0 1 0 1 0 0
fravær;0 0 0 1 0 1 0 1 0 0
fraværende;0 0 0 0 0 1 0 1 0 0
fraværende;0 0 0 0 0 1 0 1 0 0
fravær;0 0 0 0 0 1 0 0 0 0
absolut;0 0 0 0 0 0 1 0 0 0
opløsning;0 0 0 0 1 0 1 0 0 1
absorberet;0 0 0 0 0 0 1 0 0 0
absurd;0 0 0 0 0 1 0 0 0 0
absurditet;0 0 0 0 0 1 0 0 0 0
overflod;0 1 1 0 1 1 1 0 0 1
rigelig;0 0 0 0 1 0 1 0 0 0
misbrug;1 0 1 1 0 1 0 1 0 0
uhyggelig;0 0 0 0 0 1 0 1 0 0
afgrund;0 0 0 1 0 1 0 1 0 0
akademisk;0 0 0 0 0 0 1 0 0 1
akademi;0 0 0 0 0 0 1 0 0 0
