kulram;0 0 0 0 0 0 0 0 0 1
överge;0 0 0 1 0 1 0 1 0 0
övergiven;1 0 0 1 0 1 0 1 0 0
övergivenhet;1 0 0 1 0 1 0 1 1 0
abba;0 0 0 0 0 0 1 0 0 0
abbot;0 0 0 0 0 0 0 0 0 1
bortförande;0 0 0 1 0 1 0 1 1 0
abnorm;0 0 0 0 0 1 0 0 0 0
avvikelse;0 0 1 0 0 1 0 0 0 0
avsky;1 0 1 1 0 1 0 0 0 0
motbjudande;1 0 1 1 0 1 0 0 0 0
förmåga;0 0 0 0 0 0 1 0 0 0
abject;0 0 1 0 0 1 0 0 0 0
onormal;0 0 1 0 0 1 0 0 0 0
avskaffa;1 0 0 0 0 1 0 0 0 0
avskaffande;0 0 0 0 0 1 0 0 0 0
avskyvärd;0 0 1 1 0 1 0 0 0 0
avsky;1 0 1 1 0 1 0 0 0 0
avbryta;0 0 0 0 0 1 0 0 0 0
abort;0 0 1 1 0 1 0 1 0 0
misslyckad;0 0 0 0 0 1 0 1 0 0
ovan nämnda;0 0 0 0 0 0 1 0 0 0
abrasion;0 0 0 0 0 1 0 0 0 0
avskaffa;0 0 0 0 0 1 0 0 0 0
abrupt;0 0 0 0 0 0 0 0 1 0
böld;0 0 0 0 0 1 0 1 0 0
frånvaro;0 0 0 1 0 1 0 1 0 0
frånvarande;0 0 0 0 0 1 0 1 0 0
frånvarande;0 0 0 0 0 1 0 1 0 0
skolk;0 0 0 0 0 1 0 0 0 0
absolut;0 0 0 0 0 0 1 0 0 0
absolution;0 0 0 0 1 0 1 0 0 1
absorberad;0 0 0 0 0 0 1 0 0 0
absurd;0 0 0 0 0 1 0 0 0 0
absurditet;0 0 0 0 0 1 0 0 0 0
överflöd;0 1 1 0 1 1 1 0 0 1
riklig;0 0 0 0 1 0 1 0 0 0
missbruk;1 0 1 1 0 1 0 1 0 0
bottenlös;0 0 0 0 0 1 0 1 0 0
avgrund;0 0 0 1 0 1 0 1 0 0
akademisk;0 0 0 0 0 0 1 0 0 1
akademi;0 0 0 0 0 0 1 0 0 0
accelerera;0 1 0 0 0 0 0 0 0 0
godtagbar;0 0 0 0 0 0 1 0 0 0
godkännande;0 0 0 0 0 0 1 0 0 0
tillgänglig;0 0 0 0 0 0 1 0 0 0
olycka;0 0 0 1 0 1 0 1 1 0
olycklig;0 0 0 1 0 1 0 0 1 0
av misstag;0 0 0 0 0 0 0 0 1 0
hyllning;0 1 0 0 1 0 1 0 1 1
