,negative,positive
project,0.23658536585365852,0.7634146341463415
gutenberg,0.19628099173553723,0.8037190082644629
ebook,0.2760180995475113,0.7239819004524887
guide,0.2152777777777778,0.7847222222222222
life,0.35832154644035835,0.6416784535596417
literature,0.3012658227848101,0.6987341772151899
southwest,0.3105497771173849,0.6894502228826151
j.,0.3161512027491409,0.683848797250859
frank,0.2576271186440678,0.7423728813559323
dobie,0.3045977011494253,0.6954022988505748
use,0.3262195121951219,0.673780487804878
anyone,0.3636363636363636,0.6363636363636364
almost,0.42942345924453273,0.5705765407554672
may,0.40454545454545454,0.5954545454545455
copy,0.5532786885245901,0.44672131147540983
give,0.3229665071770335,0.6770334928229665
away,0.4228028503562945,0.5771971496437054
terms,0.23076923076923078,0.7692307692307693
license,0.1411764705882353,0.8588235294117647
included,0.23880597014925373,0.7611940298507464
title,0.20930232558139533,0.7906976744186046
author,0.18378378378378377,0.8162162162162162
date,0.2568306010928962,0.7431693989071039
language,0.325,0.675
english,0.35334476843910806,0.6466552315608919
produced,0.31958762886597936,0.6804123711340205
charles,0.3779069767441861,0.622093023255814
keller,0.33333333333333337,0.6666666666666667
revised,0.22499999999999998,0.775
enlarged,0.2857142857142857,0.7142857142857143
knowledge,0.16115702479338842,0.8388429752066116
wisdom,0.1702127659574468,0.8297872340425532
dallas,0.20634920634920634,0.7936507936507937
1952,0.22222222222222224,0.7777777777777777
southern,0.1891891891891892,0.8108108108108107
methodist,0.08333333333333333,0.9166666666666666
university,0.15233415233415235,0.8476658476658477
press,0.23303834808259585,0.7669616519174042
copyright,0.2222222222222222,0.7777777777777778
1942,0.19230769230769232,0.8076923076923077
anybody,0.3972602739726027,0.6027397260273972
way,0.3522727272727273,0.6477272727272728
congress,0.25,0.75
number,0.2692307692307692,0.7307692307692307
ideas,0.3293172690763052,0.6706827309236948
declaration,0.38095238095238093,0.619047619047619
interpreters,0.30434782608695654,0.6956521739130435
land,0.23357664233576642,0.7664233576642335
general,0.2334384858044164,0.7665615141955836
indian,0.3742690058479532,0.6257309941520468
culture,0.30601092896174864,0.6939890710382514
plains,0.39603960396039606,0.6039603960396039
indians,0.3108108108108108,0.6891891891891891
flavor,0.24137931034482762,0.7586206896551724
backwoods,0.3888888888888889,0.611111111111111
humor,0.31764705882352945,0.6823529411764706
early,0.33454545454545453,0.6654545454545454
lived,0.27522935779816515,0.724770642201835
fighting,0.6147859922178989,0.3852140077821012
texas,0.3494363929146538,0.6505636070853462
rangers,0.4233576642335766,0.5766423357664233
women,0.4262295081967213,0.5737704918032787
circuit,0.36619718309859156,0.6338028169014085
riders,0.3684210526315789,0.631578947368421
lawyers,0.12499999999999999,0.875
pioneer,0.2037037037037037,0.7962962962962963
mountain,0.37226277372262767,0.6277372262773723
men,0.3934316353887399,0.6065683646112601
santa,0.34722222222222227,0.6527777777777778
fe,0.32812499999999994,0.671875
trail,0.4117647058823529,0.5882352941176471
pony,0.37662337662337664,0.6233766233766235
express,0.33532934131736525,0.6646706586826346
west,0.36251920122887865,0.6374807987711214
range,0.33599999999999997,0.6639999999999999
cowboys,0.38709677419354843,0.6129032258064516
cattle,0.3378378378378379,0.6621621621621622
sheep,0.3419354838709677,0.6580645161290322
cowboy,0.37526652452025583,0.6247334754797441
songs,0.4171779141104294,0.5828220858895705
ballads,0.3703703703703704,0.6296296296296297
horses,0.34375,0.65625
mustangs,0.45652173913043476,0.5434782608695652
cow,0.4033613445378151,0.5966386554621849
bad,0.6392857142857143,0.3607142857142857
man,0.3797892720306513,0.6202107279693487
tradition,0.3655913978494624,0.6344086021505376
oil,0.368421052631579,0.6315789473684211
nature,0.3518123667377399,0.6481876332622601
wild,0.5196428571428571,0.4803571428571428
buffaloes,0.4074074074074074,0.5925925925925926
buffalo,0.3286713286713287,0.6713286713286714
hunters,0.4267515923566879,0.5732484076433122
bears,0.47368421052631576,0.5263157894736842
bear,0.43930635838150284,0.5606936416184971
coyotes,0.38461538461538464,0.6153846153846154
birds,0.2,0.8
flowers,0.3541666666666667,0.6458333333333334
negro,0.6461538461538461,0.35384615384615387
folk,0.3630952380952381,0.6369047619047619
tales,0.3622641509433962,0.6377358490566037
poetry,0.3071895424836601,0.69281045751634
drama,0.27419354838709675,0.7258064516129031
subjects,0.3305785123966942,0.6694214876033058
index,0.3648648648648649,0.6351351351351352
titles,0.45762711864406785,0.5423728813559322
illustrations,0.3134328358208955,0.6865671641791045
head,0.45675675675675675,0.5432432432432432
tom,0.4660194174757282,0.5339805825242718
lea,0.4588235294117647,0.5411764705882353
a.,0.4431818181818182,0.5568181818181818
siringo,0.5,0.5
1950,0.3,0.7
edition,0.37373737373737376,0.6262626262626263
comanche,0.6666666666666667,0.33333333333333337
george,0.3957597173144876,0.6042402826855123
catlin,0.25,0.75
north,0.3095238095238095,0.6904761904761905
american,0.36432160804020103,0.635678391959799
fray,0.5,0.5
marcos,0.5,0.5
de,0.272,0.728
niza,0.48275862068965514,0.5172413793103448
journey,0.33757961783439494,0.6624203821656051
horse,0.3316412859560067,0.6683587140439932
john,0.6308724832214765,0.36912751677852346
w.,0.31578947368421056,0.6842105263157895
thomason,0.5238095238095238,0.4761904761904762
lone,0.43999999999999995,0.5599999999999999
star,0.24271844660194175,0.7572815533980582
