,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
project,0.12121212121212122,0.16947250280583614,0.04713804713804714,0.04377104377104377,0.09764309764309764,0.0830527497194164,0.022446689113355782,0.4152637485970819
gutenberg,0.07563025210084034,0.23109243697478993,0.03781512605042017,0.03781512605042017,0.05042016806722689,0.14705882352941177,0.03361344537815126,0.3865546218487395
ebook,0.02479338842975207,0.22314049586776863,0.02479338842975207,0.02479338842975207,0.041322314049586785,0.1322314049586777,0.09917355371900828,0.4297520661157025
whispering,0.07079646017699115,0.1592920353982301,0.08849557522123895,0.1592920353982301,0.07079646017699115,0.1415929203539823,0.07964601769911504,0.23008849557522124
walls,0.058333333333333334,0.15,0.08333333333333334,0.16666666666666669,0.075,0.14166666666666666,0.075,0.25
use,0.12883435582822086,0.19631901840490798,0.09202453987730062,0.09202453987730062,0.15950920245398773,0.06134969325153375,0.04294478527607363,0.22699386503067487
anyone,0.07692307692307693,0.19230769230769232,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.125,0.019230769230769232,0.31730769230769235
almost,0.2037037037037037,0.037037037037037035,0.12962962962962965,0.16666666666666666,0.0925925925925926,0.16666666666666666,0.07407407407407407,0.12962962962962965
may,0.1271393643031785,0.16136919315403425,0.09046454767726163,0.117359413202934,0.06601466992665038,0.14425427872860638,0.05378973105134475,0.23960880195599024
copy,0.18229166666666666,0.10416666666666667,0.09375,0.057291666666666664,0.041666666666666664,0.078125,0.052083333333333336,0.390625
give,0.06779661016949153,0.23728813559322037,0.03389830508474576,0.05932203389830509,0.11016949152542374,0.11016949152542374,0.1016949152542373,0.2796610169491526
away,0.11020408163265305,0.14693877551020407,0.08163265306122448,0.15918367346938775,0.08163265306122448,0.15918367346938775,0.09387755102040816,0.16734693877551018
terms,0.1206896551724138,0.13218390804597702,0.034482758620689655,0.05172413793103448,0.10344827586206896,0.05172413793103448,0.05747126436781609,0.4482758620689655
license,0.09677419354838711,0.2338709677419355,0.048387096774193554,0.08064516129032259,0.09677419354838711,0.09677419354838711,0.06451612903225806,0.28225806451612906
15,0.13333333333333333,0.11111111111111112,0.08888888888888888,0.24444444444444444,0.04444444444444444,0.17777777777777776,0.06666666666666667,0.13333333333333333
start,0.03614457831325301,0.4939759036144578,0.024096385542168672,0.060240963855421686,0.03614457831325301,0.07228915662650602,0.060240963855421686,0.21686746987951808
distributed,0.032967032967032975,0.28571428571428575,0.032967032967032975,0.06593406593406595,0.09890109890109891,0.08791208791208792,0.04395604395604396,0.3516483516483517
http,0.0,0.2545454545454545,0.0,0.0,0.10909090909090907,0.12727272727272726,0.07272727272727271,0.4363636363636363
mystery,0.0,0.375,0.049999999999999996,0.0,0.024999999999999998,0.024999999999999998,0.3,0.22499999999999998
girls,0.07142857142857142,0.1875,0.08035714285714285,0.05357142857142857,0.125,0.16964285714285712,0.10714285714285714,0.20535714285714285
new,0.0,0.33333333333333337,0.0,0.16666666666666669,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3
penny,0.0815347721822542,0.15887290167865706,0.05755395683453238,0.14148681055155876,0.10551558752997602,0.14268585131894485,0.09172661870503597,0.22062350119904078
parker,0.04669260700389105,0.19844357976653695,0.04280155642023346,0.12062256809338522,0.14396887159533073,0.10894941634241245,0.10116731517509726,0.2373540856031128
large,0.1,0.23333333333333334,0.1,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.16666666666666669,0.23333333333333334
