,negative,positive
0,83.2,280.8
1,18.8,97.8
2,7.0,18.0
3,6.0,4.8
4,8.0,8.0
5,20.0,39.4
6,8.0,20.2
7,15.6,15.8
8,72.8,99.0
9,41.2,29.2
10,16.8,39.4
11,34.0,35.6
12,13.0,56.0
13,9.8,45.2
14,3.4,2.0
15,5.6,14.4
16,2.6,17.0
17,1.6,19.8
18,1.6,4.0
19,5.4,6.8
20,15.6,53.6
21,87.6,105.4
22,8.6,18.4
23,7.4,19.8
24,3.0,2.2
25,8.6,3.8
26,3.2,1.0
27,18.6,20.6
28,3.4,9.6
29,25.6,20.4
30,25.2,45.4
31,8.0,11.2
32,5.8,4.8
33,14.6,26.8
34,8.8,10.8
35,11.6,18.2
36,13.0,5.0
37,10.8,28.2
38,25.6,30.0
39,4.0,9.6
40,11.6,11.0
41,6.8,2.4
42,9.6,4.2
43,5.8,8.6
44,3.0,1.4
45,4.8,3.8
46,5.2,2.6
47,5.6,14.0
48,5.8,3.4
49,6.6,8.2
50,8.2,5.4
51,5.2,2.6
52,4.6,13.8
53,4.6,3.0
54,5.4,7.0
55,18.6,11.0
56,7.0,11.6
57,3.4,1.4
58,4.6,2.0
59,4.0,4.6
60,2.8,1.4
61,2.8,1.2
62,10.4,11.0
63,2.8,1.4
64,24.2,11.4
65,4.2,3.6
66,3.8,2.4
67,3.2,2.0
68,6.0,2.6
69,3.4,2.4
70,4.0,2.2
71,3.0,1.6
72,10.0,4.2
73,3.8,1.8
74,19.8,7.4
75,3.2,1.4
76,19.8,16.6
77,28.0,24.0
78,231.8,417.2
79,10.0,4.2
80,3.2,1.2
81,8.4,10.6
82,10.2,8.8
83,2.8,1.2
84,10.0,3.4
85,4.4,5.6
86,8.8,7.2
87,6.0,3.6
88,6.0,8.6
89,2.8,1.2
90,3.0,1.2
91,9.8,3.0
92,3.4,1.2
93,2.8,1.4
94,4.0,2.2
95,2.6,1.6
96,2.6,1.4
97,2.6,1.6
98,2.6,1.4
99,9.6,8.8
100,6.8,13.0
101,2.8,1.2
102,10.6,19.6
103,5.2,6.2
104,3.0,1.8
105,2.8,2.0
106,14.6,8.4
107,2.8,1.2
108,15.6,35.8
109,3.4,19.2
110,4.4,6.4
111,14.8,16.0
112,56.0,73.2
113,11.6,15.4
114,117.0,212.8
115,15.6,18.4
116,9.4,7.0
117,8.2,9.6
118,6.0,13.6
119,24.4,54.4
120,23.0,35.4
121,13.6,5.0
122,63.6,165.6
123,49.6,88.8
124,11.0,22.6
125,3.0,5.6
126,4.0,3.2
127,5.4,33.6
128,10.6,3.2
129,30.4,31.4
130,5.0,22.0
131,30.4,56.0
132,13.4,32.8
133,7.8,18.4
134,83.4,91.8
135,12.2,40.0
136,7.0,19.8
137,35.0,76.0
138,24.8,63.2
139,12.2,29.6
140,10.4,17.0
141,17.6,66.8
142,6.0,8.2
143,9.2,11.8
144,87.6,109.6
145,41.6,73.4
146,21.6,30.8
147,22.0,35.8
148,3.0,3.4
149,15.8,26.0
150,16.0,47.0
151,25.4,54.4
152,6.2,8.2
153,5.6,11.8
154,34.6,89.2
155,71.2,53.4
156,17.2,22.8
157,7.8,4.8
158,7.0,25.4
159,7.2,15.8
160,12.0,33.0
161,4.2,8.6
162,27.4,39.6
163,8.0,21.8
164,21.4,25.6
165,8.6,15.8
166,6.6,5.6
167,9.6,11.4
168,1.2,2.6
169,62.8,84.0
170,7.2,35.8
171,79.6,159.0
172,9.8,14.4
173,29.8,52.8
174,28.2,45.4
175,18.2,19.0
176,3.8,17.6
177,8.4,18.2
178,24.4,36.2
179,4.8,65.2
180,60.2,111.8
181,38.2,78.8
182,20.4,24.4
183,9.6,19.6
184,5.0,2.8
185,3.2,47.4
186,20.8,27.6
187,22.0,27.0
188,27.6,41.4
189,6.8,10.0
190,5.8,3.2
191,10.0,17.6
192,0.6,1.2
193,3.2,2.0
194,8.4,8.0
195,1.0,2.2
196,33.4,67.4
197,8.2,13.4
198,14.4,36.4
199,46.6,61.6
200,16.6,29.8
201,5.4,10.6
202,12.8,21.8
203,7.4,11.6
204,5.8,8.6
205,5.2,6.0
206,2.2,1.4
207,15.6,18.2
208,44.4,62.0
209,14.4,28.2
210,4.0,4.6
211,8.2,12.6
212,7.4,11.4
213,14.0,24.6
214,6.0,11.8
215,18.0,29.0
216,13.8,18.4
217,12.6,3.2
218,3.6,0.8
219,15.8,22.2
220,4.4,8.2
221,14.6,21.6
222,3.6,5.2
223,10.2,11.8
224,20.8,32.0
225,12.0,5.2
226,17.4,22.6
227,29.0,58.4
228,25.6,52.4
229,2.0,8.2
230,15.4,17.4
231,9.8,11.8
232,10.0,11.8
233,48.8,66.0
234,10.8,39.8
235,17.2,38.8
236,41.4,20.2
237,15.4,20.6
238,24.8,31.2
239,10.6,22.2
240,9.4,17.0
241,5.2,7.6
242,33.2,43.8
243,15.6,26.8
244,4.4,4.8
245,15.2,17.0
246,11.2,19.4
247,1.6,3.4
248,10.0,26.4
249,9.2,6.8
250,1.6,2.2
251,11.6,27.8
252,12.2,14.4
253,5.2,19.4
254,9.0,13.2
255,3.2,5.0
256,8.8,12.2
257,14.8,9.2
258,8.2,11.0
259,20.2,32.0
260,3.0,6.0
261,5.8,8.0
262,17.6,25.4
263,9.8,14.2
264,4.2,10.8
265,19.0,25.2
266,19.8,31.0
267,11.4,3.4
268,1.4,2.6
269,14.2,25.4
270,5.8,10.2
271,2.4,1.6
272,3.0,3.6
273,22.0,28.8
274,8.6,12.2
275,3.0,13.6
276,18.0,26.2
277,21.0,35.6
278,23.2,30.8
279,13.6,3.2
280,19.0,29.0
281,30.0,57.4
282,6.6,10.2
283,3.0,3.4
284,12.4,18.2
285,15.0,15.6
286,0.6,4.4
287,13.8,25.0
288,8.2,11.8
289,14.2,30.6
290,21.0,35.2
291,7.2,7.8
292,22.4,12.6
293,3.0,2.4
294,4.2,4.2
295,16.2,66.8
296,2.4,3.2
297,3.6,22.2
298,10.0,16.6
299,21.6,85.4
300,11.0,8.2
301,24.8,30.8
302,18.6,41.6
303,5.8,6.6
304,10.2,4.2
305,4.8,33.2
306,47.6,29.4
307,13.4,31.0
308,17.2,37.8
309,9.2,19.0
310,16.8,22.4
311,9.6,24.0
312,27.4,42.4
313,0.6,1.6
314,11.0,13.2
315,4.0,21.4
316,5.2,6.0
317,7.0,8.6
318,2.6,0.8
319,4.8,3.8
320,11.4,14.0
321,33.2,20.8
322,22.6,21.4
323,8.6,8.6
324,84.8,108.0
325,2.2,2.2
326,8.0,9.0
327,9.6,5.6
328,26.4,70.6
329,0.8,3.0
330,3.0,0.4
331,49.8,81.0
332,16.0,39.8
333,4.6,8.6
334,15.0,22.4
335,19.4,18.0
336,10.6,5.8
337,5.2,3.4
338,2.8,0.6
339,61.0,34.6
340,15.6,26.8
341,12.0,3.8
342,4.8,5.0
343,11.8,11.4
344,2.4,3.6
345,3.2,5.6
346,4.8,1.8
347,4.8,6.0
348,29.8,99.0
349,2.4,8.2
350,7.8,37.8
351,26.6,52.2
352,11.8,16.6
353,16.0,37.2
354,4.4,5.0
355,2.6,0.4
356,2.4,0.4
357,9.2,21.2
358,9.0,29.8
359,12.6,21.4
360,4.6,10.8
361,5.0,13.6
362,2.6,0.8
363,17.2,36.2
364,15.6,38.4
365,19.0,59.2
366,3.2,12.0
367,20.0,74.4
368,7.0,2.2
369,10.8,42.4
370,4.2,35.2
371,20.2,111.6
372,21.4,17.4
373,64.0,179.0
374,37.2,85.6
375,14.4,30.6
376,15.4,17.0
377,7.0,30.2
378,18.2,19.4
379,23.0,28.0
380,20.0,20.0
381,11.2,60.2
382,10.0,58.2
383,8.0,21.0
384,12.0,48.8
385,6.2,54.2
386,13.0,15.4
387,22.0,16.6
388,15.4,14.4
389,4.6,5.6
390,0.6,2.6
391,0.6,2.6
392,0.6,2.6
393,0.6,3.4
394,2.2,5.4
395,4.6,8.8
396,1.6,1.2
397,14.6,19.2
398,4.4,7.8
399,10.4,3.8
400,1.8,13.2
401,2.4,2.4
402,1.4,3.4
403,10.0,14.0
404,5.0,10.8
405,4.2,5.2
406,3.6,6.8
407,3.2,1.6
408,2.8,10.8
409,1.6,5.2
410,12.2,13.2
411,5.2,18.0
412,1.8,3.0
413,4.0,9.0
414,8.2,13.2
415,6.2,2.8
416,18.0,29.4
417,3.4,4.6
418,2.2,2.2
419,4.4,5.0
420,6.0,9.8
421,2.8,11.6
422,1.6,2.6
423,6.8,9.6
424,2.0,7.8
425,17.4,37.4
426,1.2,6.2
427,6.2,7.2
428,6.4,10.2
429,13.6,19.8
430,3.8,15.8
431,4.8,9.8
432,4.0,15.4
433,0.6,4.4
434,4.6,14.2
435,3.2,15.6
436,1.6,2.6
437,10.8,20.6
438,3.4,3.6
439,1.6,12.8
440,6.0,10.4
441,12.2,30.4
442,4.6,13.8
443,3.4,12.2
444,10.2,29.6
445,8.8,35.8
446,1.0,3.6
447,9.4,16.6
448,3.4,3.6
449,13.4,16.0
450,3.4,7.2
451,11.2,20.0
452,7.6,15.6
453,9.6,3.0
454,12.6,18.0
455,29.2,50.2
456,2.8,1.2
457,6.8,11.2
458,7.2,12.4
459,8.8,8.2
460,4.8,6.4
461,10.6,7.4
462,9.2,3.4
463,4.2,6.0
464,14.4,25.6
465,4.0,1.2
466,11.8,16.8
467,3.6,7.8
468,4.0,6.0
469,18.2,32.2
470,6.2,5.6
471,5.6,19.8
472,5.0,5.8
473,3.8,7.6
474,1.2,2.2
475,6.6,18.6
476,13.0,18.6
477,4.4,7.2
478,10.6,58.8
479,1.0,2.4
480,3.8,7.8
481,3.6,5.6
482,5.8,4.0
483,7.4,8.8
484,0.8,2.2
485,11.8,10.4
486,19.4,6.2
487,0.6,3.6
488,3.4,7.2
489,0.8,3.4
490,1.0,2.2
491,4.6,3.0
492,10.0,12.4
493,1.0,2.6
494,4.4,11.6
495,2.6,17.4
496,0.6,5.2
497,6.4,3.2
498,6.8,14.6
499,0.6,3.4
500,2.6,8.0
501,3.6,2.2
502,3.4,18.6
503,1.0,6.4
504,0.6,3.8
505,0.6,3.4
506,0.6,3.2
507,0.4,6.0
508,2.0,3.4
509,13.4,38.4
510,0.8,3.8
511,2.6,5.8
512,1.6,6.6
513,2.0,8.4
514,2.0,4.6
515,3.0,6.2
516,1.2,5.4
517,7.2,14.2
518,2.4,4.4
519,3.4,6.4
520,1.6,4.0
521,1.2,6.2
522,2.0,5.4
523,5.8,4.0
524,5.6,11.8
525,20.8,58.6
526,4.4,16.8
527,0.6,4.6
528,2.0,6.4
529,1.8,8.8
530,0.4,4.2
531,1.4,7.2
532,1.2,7.4
533,1.2,7.6
