,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
gutenberg,0.144,0.144,0.024,0.152,0.08,0.064,0.104,0.288
's,0.24857468643101482,0.08893956670467502,0.04218928164196123,0.2314709236031927,0.07297605473204105,0.04903078677309008,0.09350057012542759,0.1733181299885975
shock,0.255859375,0.0546875,0.026692708333333332,0.263671875,0.0546875,0.040364583333333336,0.18684895833333334,0.1171875
awe,0.25542691751085383,0.055716353111432707,0.02532561505065123,0.26483357452966716,0.05499276410998553,0.03762662807525326,0.18813314037626627,0.11794500723589002
k.,0.16216216216216217,0.13513513513513514,0.0,0.21621621621621623,0.08108108108108109,0.0,0.21621621621621623,0.1891891891891892
ullman,0.15789473684210525,0.07894736842105263,0.0,0.2631578947368421,0.07894736842105263,0.0,0.23684210526315788,0.18421052631578946
p.,0.16216216216216217,0.10810810810810811,0.0,0.21621621621621623,0.08108108108108109,0.0,0.21621621621621623,0.21621621621621623
wade,0.14634146341463414,0.0975609756097561,0.0,0.24390243902439024,0.07317073170731707,0.0,0.21951219512195122,0.21951219512195122
ebook,0.15625,0.109375,0.015625,0.21875,0.09375,0.015625,0.171875,0.21875
use,0.2248062015503876,0.10077519379844961,0.05232558139534884,0.25775193798449614,0.06395348837209303,0.06782945736434108,0.06976744186046512,0.16279069767441862
united,0.13855421686746988,0.12349397590361445,0.0391566265060241,0.25903614457831325,0.045180722891566265,0.060240963855421686,0.02710843373493976,0.3072289156626506
states,0.13526570048309178,0.12318840579710146,0.04589371980676329,0.24396135265700483,0.04830917874396135,0.07004830917874397,0.036231884057971016,0.2971014492753623
world,0.2066869300911854,0.1033434650455927,0.057750759878419454,0.2978723404255319,0.03343465045592705,0.0668693009118541,0.060790273556231005,0.17325227963525835
cost,0.16279069767441862,0.10852713178294573,0.015503875968992248,0.26356589147286824,0.07751937984496124,0.03875968992248062,0.03875968992248062,0.29457364341085274
almost,0.1956521739130435,0.15217391304347827,0.043478260869565216,0.2391304347826087,0.0,0.10869565217391304,0.043478260869565216,0.21739130434782608
may,0.21142857142857144,0.11142857142857143,0.045714285714285714,0.23857142857142857,0.06428571428571428,0.07142857142857142,0.07285714285714286,0.18428571428571427
copy,0.22727272727272727,0.06818181818181818,0.09090909090909091,0.06818181818181818,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.4318181818181818
give,0.21818181818181817,0.16363636363636364,0.05454545454545454,0.18181818181818182,0.07272727272727272,0.10909090909090909,0.01818181818181818,0.18181818181818182
away,0.14285714285714285,0.14285714285714285,0.04081632653061224,0.16326530612244897,0.10204081632653061,0.061224489795918366,0.08163265306122448,0.2653061224489796
terms,0.2603305785123967,0.06611570247933884,0.04132231404958678,0.25206611570247933,0.049586776859504134,0.08677685950413223,0.06198347107438017,0.18181818181818182
project,0.13352272727272727,0.13636363636363635,0.03977272727272727,0.08238636363636363,0.10795454545454546,0.0625,0.048295454545454544,0.38920454545454547
license,0.18604651162790697,0.16279069767441862,0.046511627906976744,0.20930232558139536,0.09302325581395349,0.06976744186046512,0.023255813953488372,0.20930232558139536
check,0.2727272727272727,0.15151515151515152,0.030303030303030304,0.21212121212121213,0.0,0.09090909090909091,0.0,0.24242424242424243
country,0.2112676056338028,0.09859154929577464,0.04225352112676056,0.2535211267605634,0.028169014084507043,0.08450704225352113,0.028169014084507043,0.2535211267605634
using,0.24,0.064,0.064,0.256,0.036,0.096,0.056,0.188
achieving,0.21774193548387097,0.07258064516129033,0.036290322580645164,0.2620967741935484,0.04032258064516129,0.06048387096774194,0.16129032258064516,0.14919354838709678
rapid,0.18742791234140715,0.07785467128027682,0.03575547866205306,0.2035755478662053,0.058246828143021914,0.04152249134948097,0.2358708189158016,0.15974625144175317
dominance,0.1867582760774516,0.07932542161149282,0.03123048094940662,0.20487195502810743,0.05933791380387258,0.043098063710181135,0.23048094940662087,0.16489693941286696
date,0.08888888888888889,0.15555555555555556,0.0,0.17777777777777778,0.06666666666666667,0.022222222222222223,0.17777777777777778,0.3111111111111111
release,0.15625,0.09375,0.0,0.28125,0.0625,0.03125,0.15625,0.21875
first,0.19256756756756757,0.11824324324324324,0.02702702702702703,0.24662162162162163,0.05067567567567568,0.05067567567567568,0.0945945945945946,0.2195945945945946
1,0.20224719101123595,0.12359550561797752,0.011235955056179775,0.2808988764044944,0.056179775280898875,0.06741573033707865,0.10112359550561797,0.15730337078651685
start,0.1111111111111111,0.4074074074074074,0.0,0.18518518518518517,0.037037037037037035,0.0,0.1111111111111111,0.14814814814814814
produced,0.14634146341463414,0.12195121951219512,0.0,0.24390243902439024,0.12195121951219512,0.0,0.1951219512195122,0.17073170731707318
volunteer,0.125,0.14583333333333334,0.041666666666666664,0.22916666666666666,0.125,0.041666666666666664,0.125,0.16666666666666666
note,0.17777777777777778,0.08888888888888889,0.044444444444444446,0.2,0.06666666666666667,0.08888888888888889,0.06666666666666667,0.26666666666666666
taken,0.21739130434782608,0.1956521739130435,0.043478260869565216,0.21739130434782608,0.043478260869565216,0.06521739130434782,0.043478260869565216,0.17391304347826086
command,0.1518987341772152,0.10126582278481013,0.0379746835443038,0.21518987341772153,0.0949367088607595,0.04430379746835443,0.04430379746835443,0.310126582278481
control,0.21258134490238612,0.09761388286334056,0.049891540130151846,0.20824295010845986,0.0650759219088937,0.04338394793926247,0.08026030368763558,0.24295010845986983
research,0.11363636363636363,0.20454545454545456,0.0,0.18181818181818182,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.4090909090909091
program,0.17777777777777778,0.2222222222222222,0.0,0.3111111111111111,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.2
within,0.2193877551020408,0.1377551020408163,0.030612244897959183,0.17857142857142858,0.05612244897959184,0.04591836734693878,0.09693877551020408,0.23469387755102042
defense,0.2017766497461929,0.20939086294416243,0.0266497461928934,0.2639593908629442,0.04314720812182741,0.04314720812182741,0.03807106598984772,0.17385786802030456
security,0.16835016835016836,0.13804713804713806,0.013468013468013467,0.23905723905723905,0.06060606060606061,0.08417508417508418,0.08417508417508418,0.21212121212121213
2,0.20588235294117646,0.20588235294117646,0.029411764705882353,0.29411764705882354,0.029411764705882353,0.11764705882352941,0.0,0.11764705882352941
information,0.18740399385560677,0.09370199692780339,0.06144393241167435,0.2119815668202765,0.07373271889400922,0.08448540706605223,0.07834101382488479,0.20890937019969277
considered,0.3225806451612903,0.03225806451612903,0.03225806451612903,0.3225806451612903,0.0,0.06451612903225806,0.06451612903225806,0.16129032258064516
public,0.19333333333333333,0.24666666666666667,0.06,0.19333333333333333,0.02,0.06666666666666667,0.06,0.16
distributed,0.06896551724137931,0.2413793103448276,0.06896551724137931,0.13793103448275862,0.06896551724137931,0.034482758620689655,0.0,0.3793103448275862
unless,0.24528301886792453,0.11320754716981132,0.0,0.3018867924528302,0.05660377358490566,0.03773584905660377,0.07547169811320754,0.16981132075471697
otherwise,0.2413793103448276,0.13793103448275862,0.0,0.2413793103448276,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.20689655172413793
appropriate,0.2710843373493976,0.06626506024096386,0.024096385542168676,0.26506024096385544,0.03614457831325301,0.030120481927710843,0.0963855421686747,0.21084337349397592
electronic,0.19047619047619047,0.11564625850340136,0.07482993197278912,0.09523809523809523,0.08163265306122448,0.06802721088435375,0.05442176870748299,0.3197278911564626
basis,0.19696969696969696,0.10606060606060606,0.030303030303030304,0.24242424242424243,0.015151515151515152,0.06060606060606061,0.13636363636363635,0.21212121212121213
