,negative,positive
project,0.24697986577181208,0.7530201342281879
gutenberg,0.22134387351778656,0.7786561264822134
ebook,0.45962732919254656,0.5403726708074534
war,0.4294385432473445,0.5705614567526556
woodrow,0.2826086956521739,0.717391304347826
wilson,0.2549019607843137,0.7450980392156863
use,0.37770897832817335,0.6222910216718266
restrictions,0.2830188679245283,0.7169811320754716
may,0.3675018982536067,0.6324981017463933
copy,0.5822784810126582,0.4177215189873418
give,0.33548387096774196,0.6645161290322581
terms,0.24938875305623473,0.7506112469437652
license,0.19090909090909092,0.8090909090909091
included,0.38461538461538464,0.6153846153846154
date,0.41509433962264153,0.5849056603773585
first,0.3907766990291262,0.6092233009708737
february,0.4444444444444444,0.5555555555555556
congress,0.4148148148148148,0.5851851851851851
january,0.3611111111111111,0.6388888888888888
april,0.5083333333333333,0.49166666666666664
1917,0.43209876543209874,0.5679012345679012
president,0.33035714285714285,0.6696428571428571
united,0.3154399557277255,0.6845600442722745
states,0.31661600810536983,0.6833839918946302
's,0.43002915451895046,0.5699708454810496
proclamation,0.30952380952380953,0.6904761904761905
6,0.53125,0.46875
message,0.4,0.6
american,0.31382978723404253,0.6861702127659575
people,0.35374149659863946,0.6462585034013606
new,0.3136094674556213,0.6863905325443787
world,0.37610619469026546,0.6238938053097345
peace,0.23192360163710776,0.7680763983628922
senate,0.41025641025641024,0.5897435897435898
diplomatic,0.4782608695652174,0.5217391304347826
relations,0.49411764705882355,0.5058823529411764
germany,0.3697916666666667,0.6302083333333334
request,0.325,0.675
grant,0.23529411764705882,0.7647058823529411
power,0.43902439024390244,0.5609756097560976
must,0.404227212681638,0.5957727873183619
accept,0.36486486486486486,0.6351351351351351
state,0.31263858093126384,0.6873614190687362
speak,0.3891213389121339,0.6108786610878661
act,0.3949579831932773,0.6050420168067226
serve,0.41935483870967744,0.5806451612903226
note,0.44155844155844154,0.5584415584415584
form,0.3825136612021858,0.6174863387978142
way,0.43617021276595747,0.5638297872340425
possible,0.4228571428571429,0.5771428571428572
great,0.431858407079646,0.5681415929203539
full,0.236144578313253,0.763855421686747
made,0.42923794712286156,0.5707620528771384
clear,0.25396825396825395,0.746031746031746
unless,0.3584905660377358,0.6415094339622641
also,0.3934010152284264,0.6065989847715736
service,0.3057324840764331,0.6942675159235668
man,0.42643923240938164,0.5735607675906184
human,0.472636815920398,0.527363184079602
gentlemen,0.35,0.65
18th,0.5333333333333333,0.4666666666666667
last,0.47980997624703087,0.5201900237529691
addressed,0.5576923076923077,0.4423076923076923
governments,0.4019607843137255,0.5980392156862745
nations,0.32989690721649484,0.6701030927835051
yet,0.4291497975708502,0.5708502024291497
either,0.4064516129032258,0.5935483870967742
belligerents,0.47619047619047616,0.5238095238095238
upon,0.480225988700565,0.519774011299435
would,0.46690203000882613,0.5330979699911739
make,0.33194154488517746,0.6680584551148225
humanity,0.4444444444444444,0.5555555555555556
rights,0.3236994219653179,0.6763005780346821
neutral,0.49019607843137253,0.5098039215686274
many,0.4142857142857143,0.5857142857142857
whose,0.4567901234567901,0.5432098765432098
powers,0.3384615384615385,0.6615384615384615
merely,0.3333333333333333,0.6666666666666666
conference,0.5,0.5
entente,0.42105263157894735,0.5789473684210527
definite,0.18181818181818182,0.8181818181818182
replied,0.41509433962264153,0.5849056603773585
much,0.42536115569823435,0.5746388443017657
general,0.20958083832335328,0.7904191616766467
indeed,0.4634146341463415,0.5365853658536586
imply,0.391304347826087,0.6086956521739131
guarantees,0.2777777777777778,0.7222222222222222
acts,0.24719101123595505,0.7528089887640449
settlement,0.4090909090909091,0.5909090909090909
discussion,0.4375,0.5625
shall,0.33796296296296297,0.6620370370370371
end,0.38666666666666666,0.6133333333333333
present,0.2747875354107649,0.7252124645892352
international,0.4065934065934066,0.5934065934065934
concert,0.26666666666666666,0.7333333333333333
hold,0.43790849673202614,0.5620915032679739
every,0.39072847682119205,0.609271523178808
taken,0.430939226519337,0.569060773480663
granted,0.3026315789473684,0.6973684210526315
impossible,0.543859649122807,0.45614035087719296
ever,0.5,0.5
us,0.3990719257540603,0.6009280742459396
mankind,0.26506024096385544,0.7349397590361446
take,0.41411764705882353,0.5858823529411765
sought,0.29292929292929293,0.7070707070707071
opportunity,0.3111111111111111,0.6888888888888889
address,0.2549019607843137,0.7450980392156863
thought,0.44327176781002636,0.5567282321899736
associated,0.2484076433121019,0.7515923566878981
determination,0.391304347826087,0.6086956521739131
without,0.42140026420079263,0.5785997357992074
purpose,0.3181818181818182,0.6818181818181818
mind,0.4208754208754209,0.5791245791245792
regard,0.4696969696969697,0.5303030303030303
duty,0.34146341463414637,0.6585365853658537
government,0.5058027079303675,0.4941972920696325
days,0.354014598540146,0.6459854014598541
come,0.3481675392670157,0.6518324607329843
necessary,0.2826086956521739,0.717391304347826
lay,0.5251396648044693,0.4748603351955307
far,0.43558282208588955,0.5644171779141104
part,0.315035799522673,0.684964200477327
principles,0.23308270676691728,0.7669172932330827
since,0.4276315789473684,0.5723684210526315
set,0.37962962962962965,0.6203703703703703
nation,0.40703517587939697,0.592964824120603
high,0.36363636363636365,0.6363636363636364
hope,0.2894736842105263,0.7105263157894737
might,0.4695898161244696,0.5304101838755304
liberty,0.27319587628865977,0.7268041237113402
honor,0.2692307692307692,0.7307692307692307
wish,0.34782608695652173,0.6521739130434783
feel,0.4772727272727273,0.5227272727272727
free,0.23387096774193547,0.7661290322580645
nothing,0.43859649122807015,0.5614035087719298
less,0.49171270718232046,0.5082872928176796
authority,0.23376623376623376,0.7662337662337663
force,0.5536723163841808,0.4463276836158192
